,RApArcmin,pz1_act_dr6_fiducial,pz1_act_dr6_fiducial_err,pz1_act_dr6_Beta_1.2,pz1_act_dr6_Beta_1.2_err,pz1_act_dr6_Beta_1.4,pz1_act_dr6_Beta_1.4_err,pz1_act_dr6_Beta_1.6,pz1_act_dr6_Beta_1.6_err,pz2_act_dr6_fiducial,pz2_act_dr6_fiducial_err,pz2_act_dr6_Beta_1.2,pz2_act_dr6_Beta_1.2_err,pz2_act_dr6_Beta_1.4,pz2_act_dr6_Beta_1.4_err,pz2_act_dr6_Beta_1.6,pz2_act_dr6_Beta_1.6_err,pz3_act_dr6_fiducial,pz3_act_dr6_fiducial_err,pz3_act_dr6_Beta_1.2,pz3_act_dr6_Beta_1.2_err,pz3_act_dr6_Beta_1.4,pz3_act_dr6_Beta_1.4_err,pz3_act_dr6_Beta_1.6,pz3_act_dr6_Beta_1.6_err,pz4_act_dr6_fiducial,pz4_act_dr6_fiducial_err,pz4_act_dr6_Beta_1.2,pz4_act_dr6_Beta_1.2_err,pz4_act_dr6_Beta_1.4,pz4_act_dr6_Beta_1.4_err,pz4_act_dr6_Beta_1.6,pz4_act_dr6_Beta_1.6_err
0,1.0,1.0292605766962939e-07,3.964746053731918e-08,1.0292605766962939e-07,3.964746053731918e-08,1.0292605766962939e-07,3.964746053731918e-08,1.0292605766962939e-07,3.964746053731918e-08,1.0292605766962939e-07,3.964746053731918e-08,1.0292605766962939e-07,3.964746053731918e-08,1.0292605766962939e-07,3.964746053731918e-08,1.0292605766962939e-07,3.964746053731918e-08,1.0292605766962939e-07,3.964746053731918e-08,1.0292605766962939e-07,3.964746053731918e-08,1.0292605766962939e-07,3.964746053731918e-08,1.0292605766962939e-07,3.964746053731918e-08,1.0292605766962939e-07,3.964746053731918e-08,1.0292605766962939e-07,3.964746053731918e-08,1.0292605766962939e-07,3.964746053731918e-08,1.0292605766962939e-07,3.964746053731918e-08
1,1.625,1.343391345939582e-07,5.732690736569974e-08,1.343391345939582e-07,5.732690736569974e-08,1.343391345939582e-07,5.732690736569974e-08,1.343391345939582e-07,5.732690736569974e-08,1.343391345939582e-07,5.732690736569974e-08,1.343391345939582e-07,5.732690736569974e-08,1.343391345939582e-07,5.732690736569974e-08,1.343391345939582e-07,5.732690736569974e-08,1.343391345939582e-07,5.732690736569974e-08,1.343391345939582e-07,5.732690736569974e-08,1.343391345939582e-07,5.732690736569974e-08,1.343391345939582e-07,5.732690736569974e-08,1.343391345939582e-07,5.732690736569974e-08,1.343391345939582e-07,5.732690736569974e-08,1.343391345939582e-07,5.732690736569974e-08,1.343391345939582e-07,5.732690736569974e-08
2,2.25,4.890375968911038e-07,9.3990636639154e-08,4.890375968911038e-07,9.3990636639154e-08,4.890375968911038e-07,9.3990636639154e-08,4.890375968911038e-07,9.3990636639154e-08,4.890375968911038e-07,9.3990636639154e-08,4.890375968911038e-07,9.3990636639154e-08,4.890375968911038e-07,9.3990636639154e-08,4.890375968911038e-07,9.3990636639154e-08,4.890375968911038e-07,9.3990636639154e-08,4.890375968911038e-07,9.3990636639154e-08,4.890375968911038e-07,9.3990636639154e-08,4.890375968911038e-07,9.3990636639154e-08,4.890375968911038e-07,9.3990636639154e-08,4.890375968911038e-07,9.3990636639154e-08,4.890375968911038e-07,9.3990636639154e-08,4.890375968911038e-07,9.3990636639154e-08
3,2.875,1.351944905079209e-06,1.2923963910023086e-07,1.351944905079209e-06,1.2923963910023086e-07,1.351944905079209e-06,1.2923963910023086e-07,1.351944905079209e-06,1.2923963910023086e-07,1.351944905079209e-06,1.2923963910023086e-07,1.351944905079209e-06,1.2923963910023086e-07,1.351944905079209e-06,1.2923963910023086e-07,1.351944905079209e-06,1.2923963910023086e-07,1.351944905079209e-06,1.2923963910023086e-07,1.351944905079209e-06,1.2923963910023086e-07,1.351944905079209e-06,1.2923963910023086e-07,1.351944905079209e-06,1.2923963910023086e-07,1.351944905079209e-06,1.2923963910023086e-07,1.351944905079209e-06,1.2923963910023086e-07,1.351944905079209e-06,1.2923963910023086e-07,1.351944905079209e-06,1.2923963910023086e-07
4,3.5,1.3930374558187326e-06,1.4530916917312676e-07,1.3930374558187326e-06,1.4530916917312676e-07,1.3930374558187326e-06,1.4530916917312676e-07,1.3930374558187326e-06,1.4530916917312676e-07,1.3930374558187326e-06,1.4530916917312676e-07,1.3930374558187326e-06,1.4530916917312676e-07,1.3930374558187326e-06,1.4530916917312676e-07,1.3930374558187326e-06,1.4530916917312676e-07,1.3930374558187326e-06,1.4530916917312676e-07,1.3930374558187326e-06,1.4530916917312676e-07,1.3930374558187326e-06,1.4530916917312676e-07,1.3930374558187326e-06,1.4530916917312676e-07,1.3930374558187326e-06,1.4530916917312676e-07,1.3930374558187326e-06,1.4530916917312676e-07,1.3930374558187326e-06,1.4530916917312676e-07,1.3930374558187326e-06,1.4530916917312676e-07
5,4.125,1.8510798624403525e-06,1.8710602721788917e-07,1.8510798624403525e-06,1.8710602721788917e-07,1.8510798624403525e-06,1.8710602721788917e-07,1.8510798624403525e-06,1.8710602721788917e-07,1.8510798624403525e-06,1.8710602721788917e-07,1.8510798624403525e-06,1.8710602721788917e-07,1.8510798624403525e-06,1.8710602721788917e-07,1.8510798624403525e-06,1.8710602721788917e-07,1.8510798624403525e-06,1.8710602721788917e-07,1.8510798624403525e-06,1.8710602721788917e-07,1.8510798624403525e-06,1.8710602721788917e-07,1.8510798624403525e-06,1.8710602721788917e-07,1.8510798624403525e-06,1.8710602721788917e-07,1.8510798624403525e-06,1.8710602721788917e-07,1.8510798624403525e-06,1.8710602721788917e-07,1.8510798624403525e-06,1.8710602721788917e-07
6,4.75,2.6738627078094317e-06,2.237390511283253e-07,2.6738627078094317e-06,2.237390511283253e-07,2.6738627078094317e-06,2.237390511283253e-07,2.6738627078094317e-06,2.237390511283253e-07,2.6738627078094317e-06,2.237390511283253e-07,2.6738627078094317e-06,2.237390511283253e-07,2.6738627078094317e-06,2.237390511283253e-07,2.6738627078094317e-06,2.237390511283253e-07,2.6738627078094317e-06,2.237390511283253e-07,2.6738627078094317e-06,2.237390511283253e-07,2.6738627078094317e-06,2.237390511283253e-07,2.6738627078094317e-06,2.237390511283253e-07,2.6738627078094317e-06,2.237390511283253e-07,2.6738627078094317e-06,2.237390511283253e-07,2.6738627078094317e-06,2.237390511283253e-07,2.6738627078094317e-06,2.237390511283253e-07
7,5.375,3.2666088535754513e-06,2.820128340403176e-07,3.2666088535754513e-06,2.820128340403176e-07,3.2666088535754513e-06,2.820128340403176e-07,3.2666088535754513e-06,2.820128340403176e-07,3.2666088535754513e-06,2.820128340403176e-07,3.2666088535754513e-06,2.820128340403176e-07,3.2666088535754513e-06,2.820128340403176e-07,3.2666088535754513e-06,2.820128340403176e-07,3.2666088535754513e-06,2.820128340403176e-07,3.2666088535754513e-06,2.820128340403176e-07,3.2666088535754513e-06,2.820128340403176e-07,3.2666088535754513e-06,2.820128340403176e-07,3.2666088535754513e-06,2.820128340403176e-07,3.2666088535754513e-06,2.820128340403176e-07,3.2666088535754513e-06,2.820128340403176e-07,3.2666088535754513e-06,2.820128340403176e-07
8,6.0,3.853514652564985e-06,3.4341196324753146e-07,3.853514652564985e-06,3.4341196324753146e-07,3.853514652564985e-06,3.4341196324753146e-07,3.853514652564985e-06,3.4341196324753146e-07,3.853514652564985e-06,3.4341196324753146e-07,3.853514652564985e-06,3.4341196324753146e-07,3.853514652564985e-06,3.4341196324753146e-07,3.853514652564985e-06,3.4341196324753146e-07,3.853514652564985e-06,3.4341196324753146e-07,3.853514652564985e-06,3.4341196324753146e-07,3.853514652564985e-06,3.4341196324753146e-07,3.853514652564985e-06,3.4341196324753146e-07,3.853514652564985e-06,3.4341196324753146e-07,3.853514652564985e-06,3.4341196324753146e-07,3.853514652564985e-06,3.4341196324753146e-07,3.853514652564985e-06,3.4341196324753146e-07
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
