,RApArcmin,pz1_act_dr5_f90,pz1_act_dr5_f90_err,pz1_act_dr5_f150,pz1_act_dr5_f150_err,pz2_act_dr5_f90,pz2_act_dr5_f90_err,pz2_act_dr5_f150,pz2_act_dr5_f150_err,pz3_act_dr5_f90,pz3_act_dr5_f90_err,pz3_act_dr5_f150,pz3_act_dr5_f150_err,pz4_act_dr5_f90,pz4_act_dr5_f90_err,pz4_act_dr5_f150,pz4_act_dr5_f150_err
0,1.0,-1.245560044317443e-07,1.9405369037241632e-08,-1.245560044317443e-07,1.9405369037241632e-08,-1.245560044317443e-07,1.9405369037241632e-08,-1.245560044317443e-07,1.9405369037241632e-08,-1.245560044317443e-07,1.9405369037241632e-08,-1.245560044317443e-07,1.9405369037241632e-08,-1.245560044317443e-07,1.9405369037241632e-08,-1.245560044317443e-07,1.9405369037241632e-08
1,1.5,-6.492982425716838e-08,3.551541436226867e-08,-6.492982425716838e-08,3.551541436226867e-08,-6.492982425716838e-08,3.551541436226867e-08,-6.492982425716838e-08,3.551541436226867e-08,-6.492982425716838e-08,3.551541436226867e-08,-6.492982425716838e-08,3.551541436226867e-08,-6.492982425716838e-08,3.551541436226867e-08,-6.492982425716838e-08,3.551541436226867e-08
2,2.0,1.3259032441701087e-07,5.4247296766140756e-08,1.3259032441701087e-07,5.4247296766140756e-08,1.3259032441701087e-07,5.4247296766140756e-08,1.3259032441701087e-07,5.4247296766140756e-08,1.3259032441701087e-07,5.4247296766140756e-08,1.3259032441701087e-07,5.4247296766140756e-08,1.3259032441701087e-07,5.4247296766140756e-08,1.3259032441701087e-07,5.4247296766140756e-08
3,2.5,2.4762006862586033e-07,8.310752699993487e-08,2.4762006862586033e-07,8.310752699993487e-08,2.4762006862586033e-07,8.310752699993487e-08,2.4762006862586033e-07,8.310752699993487e-08,2.4762006862586033e-07,8.310752699993487e-08,2.4762006862586033e-07,8.310752699993487e-08,2.4762006862586033e-07,8.310752699993487e-08,2.4762006862586033e-07,8.310752699993487e-08
4,3.0,4.571909773572996e-07,1.2549138228375355e-07,4.571909773572996e-07,1.2549138228375355e-07,4.571909773572996e-07,1.2549138228375355e-07,4.571909773572996e-07,1.2549138228375355e-07,4.571909773572996e-07,1.2549138228375355e-07,4.571909773572996e-07,1.2549138228375355e-07,4.571909773572996e-07,1.2549138228375355e-07,4.571909773572996e-07,1.2549138228375355e-07
5,3.5,6.197044666442221e-07,1.9332889605004357e-07,6.197044666442221e-07,1.9332889605004357e-07,6.197044666442221e-07,1.9332889605004357e-07,6.197044666442221e-07,1.9332889605004357e-07,6.197044666442221e-07,1.9332889605004357e-07,6.197044666442221e-07,1.9332889605004357e-07,6.197044666442221e-07,1.9332889605004357e-07,6.197044666442221e-07,1.9332889605004357e-07
6,4.0,7.197467591996095e-07,2.7979887685250293e-07,7.197467591996095e-07,2.7979887685250293e-07,7.197467591996095e-07,2.7979887685250293e-07,7.197467591996095e-07,2.7979887685250293e-07,7.197467591996095e-07,2.7979887685250293e-07,7.197467591996095e-07,2.7979887685250293e-07,7.197467591996095e-07,2.7979887685250293e-07,7.197467591996095e-07,2.7979887685250293e-07
7,4.5,7.503333780387951e-07,3.909008247667102e-07,7.503333780387951e-07,3.909008247667102e-07,7.503333780387951e-07,3.909008247667102e-07,7.503333780387951e-07,3.909008247667102e-07,7.503333780387951e-07,3.909008247667102e-07,7.503333780387951e-07,3.909008247667102e-07,7.503333780387951e-07,3.909008247667102e-07,7.503333780387951e-07,3.909008247667102e-07
8,5.0,8.898094133772078e-07,5.303057982389602e-07,8.898094133772078e-07,5.303057982389602e-07,8.898094133772078e-07,5.303057982389602e-07,8.898094133772078e-07,5.303057982389602e-07,8.898094133772078e-07,5.303057982389602e-07,8.898094133772078e-07,5.303057982389602e-07,8.898094133772078e-07,5.303057982389602e-07,8.898094133772078e-07,5.303057982389602e-07
9,5.5,9.72361215822286e-07,6.99043540137826e-07,9.72361215822286e-07,6.99043540137826e-07,9.72361215822286e-07,6.99043540137826e-07,9.72361215822286e-07,6.99043540137826e-07,9.72361215822286e-07,6.99043540137826e-07,9.72361215822286e-07,6.99043540137826e-07,9.72361215822286e-07,6.99043540137826e-07,9.72361215822286e-07,6.99043540137826e-07
10,6.0,1.2557661933769697e-06,8.851565316840671e-07,1.2557661933769697e-06,8.851565316840671e-07,1.2557661933769697e-06,8.851565316840671e-07,1.2557661933769697e-06,8.851565316840671e-07,1.2557661933769697e-06,8.851565316840671e-07,1.2557661933769697e-06,8.851565316840671e-07,1.2557661933769697e-06,8.851565316840671e-07,1.2557661933769697e-06,8.851565316840671e-07
