# zmin zmax all_combined bin_1_combined bin_2_combined bin_3_combined bin_4_combined all_north bin_1_north bin_2_north bin_3_north bin_4_north all_south bin_1_south bin_2_south bin_3_south bin_4_south
0.0 0.01 0.008 0.001 0.001 0.001 0.001 0.009 0.000 0.002 0.002 0.001 0.007 0.001 0.001 0.001 0.001
0.01 0.02 0.008 0.001 0.001 0.001 0.001 0.005 0.000 0.002 0.000 0.000 0.010 0.001 0.000 0.002 0.002
0.02 0.03 0.023 0.002 0.001 0.002 0.004 0.018 0.000 0.000 0.002 0.007 0.025 0.003 0.002 0.002 0.002
0.03 0.04 0.042 0.005 0.005 0.004 0.004 0.039 0.006 0.006 0.006 0.005 0.043 0.004 0.004 0.003 0.004
0.04 0.05 0.054 0.005 0.006 0.003 0.002 0.036 0.003 0.005 0.002 0.002 0.062 0.006 0.006 0.003 0.002
0.05 0.06 0.087 0.007 0.008 0.005 0.008 0.065 0.003 0.008 0.006 0.010 0.097 0.009 0.007 0.004 0.007
0.06 0.07 0.098 0.007 0.012 0.005 0.004 0.089 0.003 0.021 0.005 0.002 0.102 0.008 0.008 0.005 0.004
0.07 0.08 0.122 0.014 0.014 0.009 0.005 0.110 0.013 0.019 0.010 0.009 0.127 0.015 0.012 0.008 0.003
0.08 0.09 0.151 0.016 0.015 0.010 0.010 0.143 0.010 0.020 0.008 0.014 0.155 0.019 0.013 0.011 0.008
0.09 0.1 0.126 0.011 0.015 0.009 0.008 0.102 0.004 0.019 0.008 0.003 0.137 0.013 0.013 0.010 0.010
0.1 0.11 0.137 0.018 0.015 0.008 0.010 0.126 0.020 0.011 0.011 0.011 0.143 0.018 0.017 0.007 0.009
0.11 0.12 0.127 0.016 0.013 0.010 0.011 0.144 0.035 0.018 0.012 0.016 0.119 0.008 0.011 0.008 0.008
0.12 0.13 0.126 0.014 0.014 0.009 0.008 0.113 0.017 0.011 0.012 0.011 0.133 0.013 0.015 0.008 0.007
0.13 0.14 0.145 0.015 0.015 0.008 0.010 0.144 0.018 0.016 0.005 0.014 0.146 0.015 0.015 0.009 0.009
0.14 0.15 0.128 0.012 0.015 0.008 0.009 0.115 0.011 0.021 0.009 0.010 0.134 0.013 0.012 0.007 0.008
0.15 0.16 0.131 0.017 0.012 0.005 0.009 0.126 0.023 0.011 0.006 0.009 0.133 0.015 0.012 0.005 0.009
0.16 0.17 0.150 0.015 0.015 0.007 0.007 0.146 0.016 0.017 0.008 0.007 0.152 0.014 0.014 0.007 0.006
0.17 0.18 0.169 0.015 0.014 0.010 0.012 0.140 0.019 0.011 0.004 0.020 0.182 0.013 0.016 0.013 0.008
0.18 0.19 0.211 0.017 0.018 0.013 0.011 0.175 0.010 0.011 0.016 0.008 0.227 0.020 0.021 0.011 0.012
0.19 0.2 0.248 0.021 0.017 0.016 0.011 0.244 0.027 0.022 0.021 0.012 0.249 0.019 0.015 0.014 0.010
0.2 0.21 0.313 0.020 0.017 0.009 0.013 0.268 0.021 0.019 0.003 0.023 0.334 0.019 0.016 0.011 0.009
0.21 0.22 0.357 0.024 0.019 0.011 0.013 0.347 0.028 0.025 0.011 0.014 0.362 0.022 0.017 0.011 0.012
0.22 0.23 0.481 0.029 0.022 0.015 0.009 0.433 0.031 0.014 0.019 0.008 0.503 0.028 0.025 0.013 0.009
0.23 0.24 0.551 0.038 0.024 0.013 0.006 0.519 0.052 0.022 0.009 0.008 0.566 0.031 0.026 0.015 0.005
