# Best fit model.
# chi^2=2.710200e+01.
# z_eff=0.470567.
# Parameters:   8.8106e-01   8.0168e-01   4.0120e-01   1.9265e-01   2.5189e+00   9.7549e-01
#         ell        C_l_a        C_l_x
   0.0000e+00   1.1755e-05   1.8751e-07
   1.0000e+00   1.9349e-05   3.4576e-07
   2.0000e+00   2.6291e-05   4.8986e-07
   3.0000e+00   3.2611e-05   6.2049e-07
   4.0000e+00   3.8338e-05   7.3829e-07
   5.0000e+00   4.3502e-05   8.4395e-07
   6.0000e+00   4.8132e-05   9.3812e-07
   7.0000e+00   5.2258e-05   1.0215e-06
   8.0000e+00   5.5909e-05   1.0947e-06
   9.0000e+00   5.9113e-05   1.1584e-06
   1.0000e+01   6.1902e-05   1.2133e-06
   1.1000e+01   6.4303e-05   1.2600e-06
   1.2000e+01   6.6347e-05   1.2992e-06
   1.3000e+01   6.8062e-05   1.3316e-06
   1.4000e+01   6.9473e-05   1.3577e-06
   1.5000e+01   7.0605e-05   1.3781e-06
   1.6000e+01   7.1480e-05   1.3932e-06
   1.7000e+01   7.2118e-05   1.4036e-06
   1.8000e+01   7.2540e-05   1.4096e-06
   1.9000e+01   7.2762e-05   1.4116e-06
   2.0000e+01   7.2804e-05   1.4100e-06
   2.1000e+01   7.2680e-05   1.4052e-06
   2.2000e+01   7.2407e-05   1.3975e-06
   2.3000e+01   7.2000e-05   1.3871e-06
   2.4000e+01   7.1472e-05   1.3744e-06
   2.5000e+01   7.0837e-05   1.3596e-06
   2.6000e+01   7.0108e-05   1.3431e-06
   2.7000e+01   6.9296e-05   1.3250e-06
   2.8000e+01   6.8412e-05   1.3056e-06
   2.9000e+01   6.7468e-05   1.2851e-06
   3.0000e+01   6.6474e-05   1.2637e-06
   3.1000e+01   6.5438e-05   1.2416e-06
   3.2000e+01   6.4370e-05   1.2190e-06
   3.3000e+01   6.3278e-05   1.1959e-06
   3.4000e+01   6.2169e-05   1.1727e-06
   3.5000e+01   6.1050e-05   1.1493e-06
   3.6000e+01   5.9927e-05   1.1260e-06
   3.7000e+01   5.8807e-05   1.1028e-06
   3.8000e+01   5.7695e-05   1.0798e-06
   3.9000e+01   5.6594e-05   1.0571e-06
   4.0000e+01   5.5509e-05   1.0348e-06
   4.1000e+01   5.4444e-05   1.0130e-06
   4.2000e+01   5.3401e-05   9.9169e-07
   4.3000e+01   5.2383e-05   9.7091e-07
   4.4000e+01   5.1393e-05   9.5074e-07
   4.5000e+01   5.0432e-05   9.3119e-07
   4.6000e+01   4.9502e-05   9.1228e-07
   4.7000e+01   4.8604e-05   8.9405e-07
   4.8000e+01   4.7739e-05   8.7650e-07
   4.9000e+01   4.6907e-05   8.5963e-07
   5.0000e+01   4.6109e-05   8.4344e-07
   5.1000e+01   4.5346e-05   8.2794e-07
   5.2000e+01   4.4616e-05   8.1311e-07
   5.3000e+01   4.3920e-05   7.9894e-07
   5.4000e+01   4.3257e-05   7.8543e-07
   5.5000e+01   4.2627e-05   7.7254e-07
   5.6000e+01   4.2029e-05   7.6027e-07
   5.7000e+01   4.1460e-05   7.4858e-07
   5.8000e+01   4.0920e-05   7.3745e-07
   5.9000e+01   4.0408e-05   7.2684e-07
   6.0000e+01   3.9921e-05   7.1673e-07
   6.1000e+01   3.9458e-05   7.0708e-07
   6.2000e+01   3.9018e-05   6.9787e-07
   6.3000e+01   3.8599e-05   6.8907e-07
   6.4000e+01   3.8200e-05   6.8063e-07
   6.5000e+01   3.7818e-05   6.7254e-07
   6.6000e+01   3.7453e-05   6.6476e-07
   6.7000e+01   3.7103e-05   6.5727e-07
   6.8000e+01   3.6766e-05   6.5002e-07
   6.9000e+01   3.6441e-05   6.4300e-07
   7.0000e+01   3.6127e-05   6.3617e-07
   7.1000e+01   3.5821e-05   6.2953e-07
   7.2000e+01   3.5524e-05   6.2303e-07
   7.3000e+01   3.5234e-05   6.1667e-07
   7.4000e+01   3.4949e-05   6.1041e-07
   7.5000e+01   3.4669e-05   6.0424e-07
   7.6000e+01   3.4392e-05   5.9815e-07
   7.7000e+01   3.4118e-05   5.9211e-07
   7.8000e+01   3.3845e-05   5.8612e-07
   7.9000e+01   3.3572e-05   5.8015e-07
   8.0000e+01   3.3299e-05   5.7419e-07
   8.1000e+01   3.3025e-05   5.6823e-07
   8.2000e+01   3.2749e-05   5.6226e-07
   8.3000e+01   3.2472e-05   5.5628e-07
   8.4000e+01   3.2191e-05   5.5029e-07
   8.5000e+01   3.1908e-05   5.4426e-07
   8.6000e+01   3.1622e-05   5.3820e-07
   8.7000e+01   3.1333e-05   5.3211e-07
   8.8000e+01   3.1041e-05   5.2598e-07
   8.9000e+01   3.0745e-05   5.1983e-07
   9.0000e+01   3.0447e-05   5.1365e-07
   9.1000e+01   3.0146e-05   5.0745e-07
   9.2000e+01   2.9843e-05   5.0122e-07
   9.3000e+01   2.9538e-05   4.9499e-07
   9.4000e+01   2.9230e-05   4.8875e-07
   9.5000e+01   2.8921e-05   4.8250e-07
   9.6000e+01   2.8612e-05   4.7625e-07
   9.7000e+01   2.8301e-05   4.7002e-07
   9.8000e+01   2.7991e-05   4.6381e-07
   9.9000e+01   2.7680e-05   4.5762e-07
   1.0000e+02   2.7370e-05   4.5146e-07
   1.0100e+02   2.7062e-05   4.4534e-07
   1.0200e+02   2.6754e-05   4.3927e-07
   1.0300e+02   2.6449e-05   4.3324e-07
   1.0400e+02   2.6146e-05   4.2728e-07
   1.0500e+02   2.5846e-05   4.2138e-07
   1.0600e+02   2.5548e-05   4.1555e-07
   1.0700e+02   2.5255e-05   4.0980e-07
   1.0800e+02   2.4965e-05   4.0414e-07
   1.0900e+02   2.4679e-05   3.9856e-07
   1.1000e+02   2.4398e-05   3.9308e-07
   1.1100e+02   2.4122e-05   3.8770e-07
   1.1200e+02   2.3851e-05   3.8242e-07
   1.1300e+02   2.3585e-05   3.7724e-07
   1.1400e+02   2.3325e-05   3.7218e-07
   1.1500e+02   2.3070e-05   3.6722e-07
   1.1600e+02   2.2822e-05   3.6239e-07
   1.1700e+02   2.2580e-05   3.5767e-07
   1.1800e+02   2.2344e-05   3.5307e-07
   1.1900e+02   2.2115e-05   3.4859e-07
   1.2000e+02   2.1892e-05   3.4423e-07
   1.2100e+02   2.1676e-05   3.3999e-07
   1.2200e+02   2.1466e-05   3.3586e-07
   1.2300e+02   2.1261e-05   3.3185e-07
   1.2400e+02   2.1064e-05   3.2795e-07
   1.2500e+02   2.0872e-05   3.2417e-07
   1.2600e+02   2.0686e-05   3.2049e-07
   1.2700e+02   2.0506e-05   3.1693e-07
   1.2800e+02   2.0333e-05   3.1348e-07
   1.2900e+02   2.0164e-05   3.1013e-07
   1.3000e+02   2.0002e-05   3.0688e-07
   1.3100e+02   1.9844e-05   3.0373e-07
   1.3200e+02   1.9692e-05   3.0067e-07
   1.3300e+02   1.9545e-05   2.9770e-07
   1.3400e+02   1.9403e-05   2.9481e-07
   1.3500e+02   1.9266e-05   2.9202e-07
   1.3600e+02   1.9133e-05   2.8930e-07
   1.3700e+02   1.9005e-05   2.8665e-07
   1.3800e+02   1.8881e-05   2.8409e-07
   1.3900e+02   1.8760e-05   2.8159e-07
