# Galaxy auto- and CMB lensing cross-spectra.
# Computed with NaMaster compute_full_master
# at Nside=2048, last bin 5949.5
# with pixel window fn correction on C_a-SN and C_x.
# Used SN=2.242553e-06.
#    ell           C_l_a           C_l_x
    49.5     3.71123e-05     8.21658e-07
    99.5     2.08739e-05     4.79148e-07
   149.5     1.35757e-05     2.93122e-07
   199.5     1.03748e-05     1.79243e-07
   249.5     8.18791e-06     1.26451e-07
   299.5     6.99057e-06     1.18937e-07
   349.5     6.07570e-06     1.05145e-07
   399.5     5.32818e-06     5.45391e-08
   449.5     5.00433e-06     5.50675e-08
   499.5     4.51329e-06     5.32009e-08
   549.5     4.40613e-06     5.12505e-08
   599.5     4.24642e-06     4.10522e-08
   649.5     4.06327e-06     4.93080e-08
   699.5     3.93390e-06     2.46167e-08
   749.5     3.87447e-06     3.71030e-08
   799.5     3.75010e-06     4.14316e-08
   849.5     3.58263e-06     4.42315e-08
   899.5     3.53969e-06     3.32699e-08
   949.5     3.45646e-06     3.22841e-08
   999.5     3.36555e-06     6.93458e-09
