# Best fit model.
# chi^2=2.309000e+01.
# z_eff=0.623972.
# Parameters:   9.9745e-01  -2.1636e+00  -4.7088e-01  -5.8266e+00   2.4269e+00   1.0371e+00
#         ell        C_l_a        C_l_x
   0.0000e+00   7.7095e-06   1.2301e-07
   1.0000e+00   1.1391e-05   2.2626e-07
   2.0000e+00   1.4811e-05   3.2162e-07
   3.0000e+00   1.7979e-05   4.0943e-07
   4.0000e+00   2.0906e-05   4.9004e-07
   5.0000e+00   2.3603e-05   5.6379e-07
   6.0000e+00   2.6080e-05   6.3102e-07
   7.0000e+00   2.8347e-05   6.9209e-07
   8.0000e+00   3.0415e-05   7.4733e-07
   9.0000e+00   3.2294e-05   7.9710e-07
   1.0000e+01   3.3995e-05   8.4173e-07
   1.1000e+01   3.5529e-05   8.8158e-07
   1.2000e+01   3.6905e-05   9.1699e-07
   1.3000e+01   3.8135e-05   9.4829e-07
   1.4000e+01   3.9227e-05   9.7578e-07
   1.5000e+01   4.0190e-05   9.9975e-07
   1.6000e+01   4.1032e-05   1.0204e-06
   1.7000e+01   4.1760e-05   1.0381e-06
   1.8000e+01   4.2382e-05   1.0529e-06
   1.9000e+01   4.2905e-05   1.0651e-06
   2.0000e+01   4.3334e-05   1.0748e-06
   2.1000e+01   4.3675e-05   1.0822e-06
   2.2000e+01   4.3934e-05   1.0874e-06
   2.3000e+01   4.4117e-05   1.0907e-06
   2.4000e+01   4.4227e-05   1.0921e-06
   2.5000e+01   4.4271e-05   1.0918e-06
   2.6000e+01   4.4253e-05   1.0899e-06
   2.7000e+01   4.4177e-05   1.0865e-06
   2.8000e+01   4.4048e-05   1.0818e-06
   2.9000e+01   4.3870e-05   1.0759e-06
   3.0000e+01   4.3646e-05   1.0688e-06
   3.1000e+01   4.3381e-05   1.0607e-06
   3.2000e+01   4.3079e-05   1.0516e-06
   3.3000e+01   4.2742e-05   1.0417e-06
   3.4000e+01   4.2374e-05   1.0311e-06
   3.5000e+01   4.1978e-05   1.0197e-06
   3.6000e+01   4.1558e-05   1.0078e-06
   3.7000e+01   4.1116e-05   9.9540e-07
   3.8000e+01   4.0656e-05   9.8252e-07
   3.9000e+01   4.0179e-05   9.6928e-07
   4.0000e+01   3.9689e-05   9.5572e-07
   4.1000e+01   3.9188e-05   9.4192e-07
   4.2000e+01   3.8678e-05   9.2794e-07
   4.3000e+01   3.8161e-05   9.1381e-07
   4.4000e+01   3.7639e-05   8.9961e-07
   4.5000e+01   3.7115e-05   8.8537e-07
   4.6000e+01   3.6589e-05   8.7114e-07
   4.7000e+01   3.6064e-05   8.5696e-07
   4.8000e+01   3.5542e-05   8.4286e-07
   4.9000e+01   3.5023e-05   8.2889e-07
   5.0000e+01   3.4508e-05   8.1507e-07
   5.1000e+01   3.4000e-05   8.0143e-07
   5.2000e+01   3.3498e-05   7.8799e-07
   5.3000e+01   3.3004e-05   7.7478e-07
   5.4000e+01   3.2519e-05   7.6180e-07
   5.5000e+01   3.2043e-05   7.4909e-07
   5.6000e+01   3.1576e-05   7.3666e-07
   5.7000e+01   3.1120e-05   7.2451e-07
   5.8000e+01   3.0675e-05   7.1266e-07
   5.9000e+01   3.0241e-05   7.0113e-07
   6.0000e+01   2.9819e-05   6.8991e-07
   6.1000e+01   2.9408e-05   6.7901e-07
   6.2000e+01   2.9010e-05   6.6844e-07
   6.3000e+01   2.8624e-05   6.5821e-07
   6.4000e+01   2.8251e-05   6.4831e-07
   6.5000e+01   2.7891e-05   6.3874e-07
   6.6000e+01   2.7543e-05   6.2950e-07
   6.7000e+01   2.7208e-05   6.2059e-07
   6.8000e+01   2.6885e-05   6.1200e-07
   6.9000e+01   2.6575e-05   6.0374e-07
   7.0000e+01   2.6276e-05   5.9579e-07
   7.1000e+01   2.5990e-05   5.8814e-07
   7.2000e+01   2.5714e-05   5.8078e-07
   7.3000e+01   2.5450e-05   5.7371e-07
   7.4000e+01   2.5196e-05   5.6691e-07
   7.5000e+01   2.4952e-05   5.6037e-07
   7.6000e+01   2.4717e-05   5.5408e-07
   7.7000e+01   2.4492e-05   5.4803e-07
   7.8000e+01   2.4275e-05   5.4220e-07
   7.9000e+01   2.4066e-05   5.3659e-07
   8.0000e+01   2.3865e-05   5.3119e-07
   8.1000e+01   2.3672e-05   5.2597e-07
   8.2000e+01   2.3485e-05   5.2094e-07
   8.3000e+01   2.3305e-05   5.1608e-07
   8.4000e+01   2.3131e-05   5.1138e-07
   8.5000e+01   2.2962e-05   5.0682e-07
   8.6000e+01   2.2799e-05   5.0240e-07
   8.7000e+01   2.2641e-05   4.9810e-07
   8.8000e+01   2.2487e-05   4.9392e-07
   8.9000e+01   2.2337e-05   4.8984e-07
   9.0000e+01   2.2191e-05   4.8586e-07
   9.1000e+01   2.2048e-05   4.8196e-07
   9.2000e+01   2.1908e-05   4.7813e-07
   9.3000e+01   2.1770e-05   4.7437e-07
   9.4000e+01   2.1634e-05   4.7066e-07
   9.5000e+01   2.1500e-05   4.6700e-07
   9.6000e+01   2.1367e-05   4.6338e-07
   9.7000e+01   2.1235e-05   4.5979e-07
   9.8000e+01   2.1104e-05   4.5623e-07
   9.9000e+01   2.0972e-05   4.5268e-07
   1.0000e+02   2.0841e-05   4.4913e-07
   1.0100e+02   2.0710e-05   4.4559e-07
   1.0200e+02   2.0577e-05   4.4205e-07
   1.0300e+02   2.0445e-05   4.3850e-07
   1.0400e+02   2.0311e-05   4.3494e-07
   1.0500e+02   2.0176e-05   4.3137e-07
   1.0600e+02   2.0040e-05   4.2778e-07
   1.0700e+02   1.9903e-05   4.2417e-07
   1.0800e+02   1.9765e-05   4.2053e-07
   1.0900e+02   1.9625e-05   4.1686e-07
   1.1000e+02   1.9483e-05   4.1317e-07
   1.1100e+02   1.9340e-05   4.0945e-07
   1.1200e+02   1.9195e-05   4.0571e-07
   1.1300e+02   1.9049e-05   4.0194e-07
   1.1400e+02   1.8902e-05   3.9815e-07
   1.1500e+02   1.8753e-05   3.9433e-07
   1.1600e+02   1.8604e-05   3.9049e-07
   1.1700e+02   1.8452e-05   3.8663e-07
   1.1800e+02   1.8300e-05   3.8275e-07
   1.1900e+02   1.8147e-05   3.7886e-07
   1.2000e+02   1.7992e-05   3.7495e-07
   1.2100e+02   1.7837e-05   3.7103e-07
   1.2200e+02   1.7682e-05   3.6711e-07
   1.2300e+02   1.7526e-05   3.6318e-07
   1.2400e+02   1.7369e-05   3.5925e-07
   1.2500e+02   1.7213e-05   3.5532e-07
   1.2600e+02   1.7056e-05   3.5140e-07
   1.2700e+02   1.6900e-05   3.4748e-07
   1.2800e+02   1.6743e-05   3.4358e-07
   1.2900e+02   1.6587e-05   3.3970e-07
   1.3000e+02   1.6432e-05   3.3583e-07
   1.3100e+02   1.6277e-05   3.3198e-07
   1.3200e+02   1.6124e-05   3.2816e-07
   1.3300e+02   1.5971e-05   3.2437e-07
   1.3400e+02   1.5819e-05   3.2061e-07
   1.3500e+02   1.5669e-05   3.1688e-07
   1.3600e+02   1.5521e-05   3.1320e-07
   1.3700e+02   1.5374e-05   3.0955e-07
   1.3800e+02   1.5228e-05   3.0595e-07
   1.3900e+02   1.5085e-05   3.0240e-07
   1.4000e+02   1.4943e-05   2.9889e-07
   1.4100e+02   1.4803e-05   2.9543e-07
   1.4200e+02   1.4665e-05   2.9203e-07
   1.4300e+02   1.4530e-05   2.8867e-07
   1.4400e+02   1.4397e-05   2.8538e-07
   1.4500e+02   1.4266e-05   2.8214e-07
   1.4600e+02   1.4137e-05   2.7896e-07
   1.4700e+02   1.4011e-05   2.7584e-07
   1.4800e+02   1.3887e-05   2.7279e-07
   1.4900e+02   1.3766e-05   2.6980e-07
   1.5000e+02   1.3648e-05   2.6687e-07
   1.5100e+02   1.3532e-05   2.6401e-07
   1.5200e+02   1.3418e-05   2.6121e-07
   1.5300e+02   1.3308e-05   2.5847e-07
   1.5400e+02   1.3200e-05   2.5580e-07
   1.5500e+02   1.3094e-05   2.5319e-07
   1.5600e+02   1.2991e-05   2.5064e-07
   1.5700e+02   1.2891e-05   2.4816e-07
   1.5800e+02   1.2794e-05   2.4575e-07
   1.5900e+02   1.2700e-05   2.4340e-07
