# Galaxy-galaxy cross-spectrum.
# Computed with NaMaster compute_full_master
# at Nside=2048, last bin 5949.5
# with pixel window fn correction on C_x.
#    ell           C_l_x
    49.5     7.74857e-06
    99.5     2.69894e-06
   149.5     1.83592e-06
   199.5     1.38143e-06
   249.5     1.10963e-06
   299.5     7.03457e-07
   349.5     6.01992e-07
   399.5     5.25895e-07
   449.5     4.29946e-07
   499.5     3.79688e-07
   549.5     3.68983e-07
   599.5     3.47501e-07
   649.5     2.79508e-07
   699.5     2.05573e-07
   749.5     2.09314e-07
   799.5     2.64834e-07
   849.5     2.22944e-07
   899.5     2.27195e-07
   949.5     1.72941e-07
   999.5     1.99279e-07
