# Best fit model.
# chi^2=2.465400e+01.
# z_eff=0.783228.
# Parameters:   1.2991e+00   1.1800e+00  -3.5715e-01  -3.5563e-01   3.1430e+00   9.6186e-01
#         ell        C_l_a        C_l_x
   0.0000e+00   3.6995e-06   8.8516e-08
   1.0000e+00   6.3389e-06   1.6761e-07
   2.0000e+00   8.8157e-06   2.4131e-07
   3.0000e+00   1.1136e-05   3.0985e-07
   4.0000e+00   1.3305e-05   3.7345e-07
   5.0000e+00   1.5330e-05   4.3234e-07
   6.0000e+00   1.7217e-05   4.8673e-07
   7.0000e+00   1.8971e-05   5.3686e-07
   8.0000e+00   2.0598e-05   5.8296e-07
   9.0000e+00   2.2105e-05   6.2524e-07
   1.0000e+01   2.3497e-05   6.6394e-07
   1.1000e+01   2.4781e-05   6.9927e-07
   1.2000e+01   2.5962e-05   7.3147e-07
   1.3000e+01   2.7046e-05   7.6074e-07
   1.4000e+01   2.8039e-05   7.8730e-07
   1.5000e+01   2.8946e-05   8.1131e-07
   1.6000e+01   2.9770e-05   8.3295e-07
   1.7000e+01   3.0518e-05   8.5236e-07
   1.8000e+01   3.1191e-05   8.6968e-07
   1.9000e+01   3.1795e-05   8.8502e-07
   2.0000e+01   3.2333e-05   8.9851e-07
   2.1000e+01   3.2809e-05   9.1025e-07
   2.2000e+01   3.3225e-05   9.2034e-07
   2.3000e+01   3.3585e-05   9.2887e-07
   2.4000e+01   3.3892e-05   9.3593e-07
   2.5000e+01   3.4148e-05   9.4160e-07
   2.6000e+01   3.4357e-05   9.4597e-07
   2.7000e+01   3.4519e-05   9.4911e-07
   2.8000e+01   3.4640e-05   9.5109e-07
   2.9000e+01   3.4719e-05   9.5198e-07
   3.0000e+01   3.4761e-05   9.5185e-07
   3.1000e+01   3.4766e-05   9.5075e-07
   3.2000e+01   3.4738e-05   9.4876e-07
   3.3000e+01   3.4678e-05   9.4592e-07
   3.4000e+01   3.4589e-05   9.4230e-07
   3.5000e+01   3.4472e-05   9.3794e-07
   3.6000e+01   3.4328e-05   9.3291e-07
