# Best fit model.
# chi^2=2.110000e+01.
# z_eff=0.912477.
# Parameters:   1.3924e+00   1.0245e+00  -1.1449e-01  -2.7454e+00   5.2156e+00   1.0115e+00
#         ell        C_l_a        C_l_x
   0.0000e+00   3.2683e-06   7.7276e-08
   1.0000e+00   4.8307e-06   1.4115e-07
   2.0000e+00   6.3062e-06   2.0087e-07
   3.0000e+00   7.6978e-06   2.5661e-07
   4.0000e+00   9.0083e-06   3.0853e-07
   5.0000e+00   1.0241e-05   3.5682e-07
   6.0000e+00   1.1398e-05   4.0165e-07
   7.0000e+00   1.2483e-05   4.4319e-07
   8.0000e+00   1.3499e-05   4.8161e-07
   9.0000e+00   1.4449e-05   5.1709e-07
   1.0000e+01   1.5335e-05   5.4981e-07
   1.1000e+01   1.6161e-05   5.7992e-07
   1.2000e+01   1.6929e-05   6.0762e-07
   1.3000e+01   1.7643e-05   6.3306e-07
   1.4000e+01   1.8305e-05   6.5640e-07
   1.5000e+01   1.8917e-05   6.7778e-07
   1.6000e+01   1.9483e-05   6.9732e-07
   1.7000e+01   2.0005e-05   7.1514e-07
   1.8000e+01   2.0484e-05   7.3134e-07
   1.9000e+01   2.0923e-05   7.4600e-07
   2.0000e+01   2.1323e-05   7.5923e-07
   2.1000e+01   2.1687e-05   7.7108e-07
   2.2000e+01   2.2016e-05   7.8165e-07
   2.3000e+01   2.2311e-05   7.9099e-07
   2.4000e+01   2.2575e-05   7.9917e-07
   2.5000e+01   2.2809e-05   8.0625e-07
   2.6000e+01   2.3013e-05   8.1229e-07
   2.7000e+01   2.3190e-05   8.1735e-07
   2.8000e+01   2.3341e-05   8.2147e-07
   2.9000e+01   2.3467e-05   8.2471e-07
   3.0000e+01   2.3569e-05   8.2710e-07
   3.1000e+01   2.3649e-05   8.2870e-07
   3.2000e+01   2.3707e-05   8.2955e-07
   3.3000e+01   2.3744e-05   8.2968e-07
   3.4000e+01   2.3762e-05   8.2914e-07
   3.5000e+01   2.3762e-05   8.2797e-07
   3.6000e+01   2.3744e-05   8.2619e-07
   3.7000e+01   2.3710e-05   8.2386e-07
   3.8000e+01   2.3660e-05   8.2099e-07
   3.9000e+01   2.3596e-05   8.1763e-07
   4.0000e+01   2.3517e-05   8.1380e-07
   4.1000e+01   2.3426e-05   8.0953e-07
   4.2000e+01   2.3323e-05   8.0486e-07
   4.3000e+01   2.3209e-05   7.9981e-07
   4.4000e+01   2.3084e-05   7.9441e-07
   4.5000e+01   2.2949e-05   7.8869e-07
   4.6000e+01   2.2805e-05   7.8267e-07
   4.7000e+01   2.2653e-05   7.7638e-07
   4.8000e+01   2.2494e-05   7.6983e-07
   4.9000e+01   2.2327e-05   7.6306e-07
   5.0000e+01   2.2154e-05   7.5609e-07
   5.1000e+01   2.1975e-05   7.4894e-07
   5.2000e+01   2.1791e-05   7.4162e-07
   5.3000e+01   2.1603e-05   7.3416e-07
   5.4000e+01   2.1410e-05   7.2658e-07
   5.5000e+01   2.1214e-05   7.1890e-07
   5.6000e+01   2.1016e-05   7.1113e-07
   5.7000e+01   2.0814e-05   7.0329e-07
   5.8000e+01   2.0611e-05   6.9539e-07
   5.9000e+01   2.0406e-05   6.8746e-07
   6.0000e+01   2.0200e-05   6.7950e-07
   6.1000e+01   1.9993e-05   6.7153e-07
   6.2000e+01   1.9786e-05   6.6356e-07
   6.3000e+01   1.9579e-05   6.5561e-07
   6.4000e+01   1.9373e-05   6.4769e-07
   6.5000e+01   1.9167e-05   6.3980e-07
   6.6000e+01   1.8962e-05   6.3197e-07
   6.7000e+01   1.8758e-05   6.2419e-07
   6.8000e+01   1.8556e-05   6.1647e-07
   6.9000e+01   1.8356e-05   6.0883e-07
   7.0000e+01   1.8158e-05   6.0128e-07
   7.1000e+01   1.7963e-05   5.9381e-07
   7.2000e+01   1.7769e-05   5.8644e-07
   7.3000e+01   1.7578e-05   5.7916e-07
   7.4000e+01   1.7390e-05   5.7200e-07
   7.5000e+01   1.7205e-05   5.6494e-07
