# zmin zmax all_combined bin_1_combined bin_2_combined bin_3_combined bin_4_combined all_north bin_1_north bin_2_north bin_3_north bin_4_north all_south bin_1_south bin_2_south bin_3_south bin_4_south
0.0 0.02 0.055 0.000 0.000 0.000 0.000 0.177 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
0.02 0.04 0.055 0.000 0.000 0.000 0.000 0.175 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
0.04 0.06 0.202 0.000 0.000 0.055 0.000 0.352 0.000 0.000 0.175 0.000 0.134 0.000 0.000 0.000 0.000
0.06 0.08 0.863 0.107 0.058 0.000 0.000 1.580 0.343 0.186 0.000 0.000 0.537 0.000 0.000 0.000 0.000
0.08 0.1 2.277 0.054 0.209 0.152 0.093 2.280 0.174 0.362 0.178 0.000 2.275 0.000 0.140 0.140 0.136
0.1 0.12 1.463 0.000 0.000 0.000 0.016 2.328 0.000 0.000 0.000 0.050 1.070 0.000 0.000 0.000 0.000
0.12 0.14 4.238 0.089 0.097 0.208 0.108 4.615 0.163 0.000 0.350 0.049 4.067 0.056 0.141 0.144 0.135
0.14 0.16 3.144 0.113 0.025 0.000 0.000 2.278 0.000 0.000 0.000 0.000 3.537 0.164 0.037 0.000 0.000
0.16 0.18 4.383 0.292 0.076 0.095 0.000 4.611 0.326 0.242 0.000 0.000 4.279 0.276 0.000 0.138 0.000
0.18 0.2 5.785 0.389 0.000 0.000 0.118 5.784 0.331 0.000 0.000 0.000 5.786 0.416 0.000 0.000 0.172
0.2 0.22 5.982 0.066 0.195 0.075 0.000 5.785 0.152 0.000 0.175 0.000 6.071 0.028 0.284 0.030 0.000
0.22 0.24 8.461 0.356 0.310 0.076 0.091 8.547 0.238 0.376 0.244 0.000 8.422 0.410 0.280 0.000 0.133
0.24 0.26 11.035 0.370 0.055 0.000 0.000 13.844 0.000 0.177 0.000 0.000 9.758 0.538 0.000 0.000 0.000
0.26 0.28 12.420 0.393 0.156 0.095 0.000 11.809 0.065 0.190 0.000 0.000 12.698 0.542 0.141 0.139 0.000
0.28 0.3 17.074 0.242 0.252 0.177 0.000 19.277 0.473 0.188 0.177 0.000 16.072 0.137 0.280 0.177 0.000
0.3 0.32 17.159 0.502 0.026 0.000 0.057 14.549 0.997 0.000 0.000 0.183 18.345 0.277 0.037 0.000 0.000
0.32 0.34 25.088 1.498 0.000 0.000 0.170 20.685 1.970 0.000 0.000 0.169 27.089 1.283 0.000 0.000 0.170
0.34 0.36 25.413 2.783 0.000 0.173 0.000 22.967 3.133 0.000 0.177 0.000 26.525 2.625 0.000 0.172 0.000
0.36 0.38 24.005 4.885 0.408 0.217 0.180 21.916 5.620 0.372 0.000 0.000 24.954 4.550 0.424 0.316 0.262
0.38 0.4 21.645 8.911 0.406 0.052 0.000 25.371 10.563 0.058 0.165 0.000 19.952 8.160 0.564 0.000 0.000
0.4 0.42 23.951 15.592 0.237 0.020 0.272 28.018 18.340 0.677 0.065 0.000 22.102 14.343 0.037 0.000 0.395
0.42 0.44 30.472 24.688 0.527 0.176 0.000 23.349 17.844 0.367 0.177 0.000 33.709 27.798 0.600 0.175 0.000
0.44 0.46 26.236 22.893 1.006 0.172 0.057 29.962 24.608 0.969 0.481 0.183 24.543 22.114 1.023 0.032 0.000
0.46 0.48 21.559 18.669 1.372 0.193 0.015 24.570 20.818 1.501 0.179 0.048 20.190 17.692 1.313 0.199 0.000
0.48 0.5 28.704 25.434 2.344 0.163 0.176 24.391 20.853 1.676 0.521 0.000 30.664 27.517 2.647 0.000 0.256
0.5 0.52 31.417 24.625 6.185 0.095 0.054 33.719 25.650 6.293 0.236 0.174 30.371 24.160 6.136 0.031 0.000
0.52 0.54 28.478 16.568 11.319 0.575 0.113 28.505 16.991 9.781 0.716 0.000 28.465 16.376 12.018 0.510 0.164
0.54 0.56 27.750 8.382 19.448 0.334 0.175 32.113 8.492 23.721 0.184 0.183 25.766 8.333 17.506 0.402 0.171
0.56 0.58 27.083 4.180 23.295 0.715 0.086 27.620 3.681 23.672 1.068 0.275 26.839 4.407 23.123 0.555 0.000
0.58 0.6 33.255 1.743 31.597 1.257 0.275 32.095 1.994 29.527 1.662 0.380 33.782 1.630 32.537 1.073 0.228
0.6 0.62 33.667 0.888 32.789 1.485 0.202 31.589 1.343 28.717 2.694 0.369 34.611 0.682 34.639 0.936 0.127
0.62 0.64 34.459 0.453 32.564 3.024 0.187 33.787 0.175 31.687 3.443 0.233 34.765 0.579 32.963 2.833 0.165
0.64 0.66 36.830 0.327 33.048 4.630 0.601 36.250 0.324 32.547 4.263 0.796 37.094 0.329 33.275 4.797 0.513
0.66 0.68 41.111 0.000 33.456 8.332 0.898 43.992 0.000 32.177 10.865 1.917 39.801 0.000 34.038 7.181 0.435
0.68 0.7 40.820 0.115 27.712 13.973 0.704 42.839 0.000 28.231 14.072 1.890 39.902 0.167 27.477 13.929 0.166
0.7 0.72 47.334 0.019 20.456 26.427 1.942 49.779 0.000 21.078 26.490 3.064 46.223 0.028 20.174 26.399 1.432
0.72 0.74 51.226 0.020 15.375 35.252 2.254 52.629 0.065 14.296 34.668 4.219 50.589 0.000 15.866 35.517 1.361
0.74 0.76 49.234 0.000 7.892 38.776 3.921 57.838 0.000 8.744 42.910 6.604 45.323 0.000 7.505 36.896 2.701
0.76 0.78 54.040 0.000 3.439 45.564 6.439 58.381 0.000 4.333 45.273 9.010 52.066 0.000 3.033 45.695 5.271
0.78 0.8 58.955 0.150 1.446 46.690 11.634 60.250 0.061 2.666 43.488 13.764 58.366 0.191 0.891 48.145 10.665
0.8 0.82 61.127 0.000 1.083 43.691 16.838 61.275 0.000 0.733 40.185 19.392 61.059 0.000 1.242 45.285 15.678
0.82 0.84 58.959 0.000 0.498 37.012 21.394 65.581 0.000 0.809 40.526 23.394 55.949 0.000 0.357 35.414 20.485
0.84 0.86 57.990 0.018 0.163 30.689 26.612 59.488 0.000 0.357 28.335 29.831 57.310 0.027 0.074 31.760 25.148
0.86 0.88 59.989 0.000 0.268 24.567 33.509 67.074 0.000 0.304 29.607 35.612 56.768 0.000 0.252 22.276 32.553
0.88 0.9 59.661 0.000 0.097 18.760 38.027 62.219 0.000 0.000 20.726 40.361 58.498 0.000 0.141 17.866 36.966
0.9 0.92 58.118 0.000 0.100 14.335 40.018 55.893 0.000 0.242 14.298 37.482 59.129 0.000 0.036 14.351 41.170
0.92 0.94 51.536 0.000 0.139 6.178 40.243 47.807 0.000 0.057 8.655 35.870 53.231 0.000 0.176 5.052 42.230
0.94 0.96 48.272 0.000 0.044 4.910 37.507 42.564 0.000 0.058 5.184 33.152 50.867 0.000 0.037 4.785 39.486
0.96 0.98 45.063 0.050 0.044 4.315 31.858 35.931 0.160 0.059 4.139 27.680 49.214 0.000 0.037 4.395 33.757
0.98 1.0 41.366 0.000 0.331 2.544 28.492 37.141 0.000 0.750 3.373 25.925 43.287 0.000 0.140 2.166 29.660
1.0 1.02 31.092 0.000 0.000 1.382 21.485 32.247 0.000 0.000 1.941 23.279 30.567 0.000 0.000 1.127 20.669
1.02 1.04 27.206 0.000 0.018 1.012 16.081 26.029 0.000 0.058 1.403 16.905 27.740 0.000 0.000 0.835 15.706
1.04 1.06 23.346 0.054 0.000 0.508 12.797 26.654 0.174 0.000 0.695 14.273 21.842 0.000 0.000 0.424 12.126
