# zmin zmax all_decals bin_1_decals bin_2_decals bin_3_decals bin_4_decals all_des bin_1_des bin_2_des bin_3_des bin_4_des
0.0 0.02 0.018 0.003 0.001 0.003 0.003 0.008 0.000 0.000 0.003 0.002
0.02 0.04 0.070 0.008 0.006 0.006 0.005 0.052 0.000 0.003 0.006 0.014
0.04 0.06 0.154 0.014 0.013 0.007 0.009 0.203 0.017 0.017 0.006 0.014
0.06 0.08 0.231 0.023 0.021 0.014 0.008 0.221 0.021 0.017 0.009 0.003
0.08 0.1 0.294 0.033 0.026 0.021 0.019 0.289 0.021 0.023 0.021 0.015
0.1 0.12 0.262 0.025 0.028 0.017 0.019 0.280 0.023 0.026 0.006 0.012
0.12 0.14 0.278 0.028 0.029 0.017 0.015 0.300 0.021 0.038 0.024 0.018
0.14 0.16 0.265 0.025 0.022 0.012 0.017 0.297 0.047 0.038 0.012 0.020
0.16 0.18 0.346 0.028 0.031 0.021 0.016 0.257 0.020 0.020 0.015 0.006
0.18 0.2 0.481 0.040 0.037 0.026 0.020 0.466 0.029 0.026 0.024 0.040
0.2 0.22 0.703 0.043 0.035 0.021 0.022 0.683 0.023 0.020 0.030 0.011
0.22 0.24 1.082 0.059 0.053 0.028 0.014 1.018 0.052 0.035 0.034 0.020
0.24 0.26 1.409 0.084 0.043 0.027 0.016 1.373 0.087 0.055 0.021 0.011
0.26 0.28 1.862 0.106 0.049 0.032 0.019 2.169 0.183 0.080 0.034 0.017
0.28 0.3 2.314 0.167 0.068 0.028 0.017 2.755 0.221 0.081 0.046 0.011
0.3 0.32 3.282 0.281 0.106 0.058 0.042 3.154 0.336 0.102 0.074 0.041
0.32 0.34 4.703 0.519 0.120 0.045 0.025 5.115 0.520 0.136 0.038 0.020
0.34 0.36 7.177 1.074 0.147 0.036 0.019 7.474 1.240 0.139 0.035 0.023
0.36 0.38 8.508 2.181 0.153 0.040 0.020 9.197 2.420 0.155 0.048 0.014
0.38 0.4 9.487 4.174 0.196 0.044 0.023 9.354 4.059 0.203 0.030 0.010
0.4 0.42 9.708 6.517 0.213 0.038 0.025 10.029 6.843 0.253 0.032 0.014
0.42 0.44 10.157 8.366 0.272 0.031 0.016 10.632 8.933 0.264 0.024 0.014
0.44 0.46 11.363 9.922 0.412 0.038 0.015 11.469 10.274 0.376 0.038 0.009
