# zmin zmax all_combined bin_1_combined bin_2_combined bin_3_combined bin_4_combined all_north bin_1_north bin_2_north bin_3_north bin_4_north all_south bin_1_south bin_2_south bin_3_south bin_4_south
0.0 0.02 0.016 0.002 0.002 0.002 0.002 0.014 0.000 0.003 0.002 0.001 0.017 0.002 0.001 0.003 0.003
0.02 0.04 0.065 0.007 0.006 0.006 0.008 0.057 0.006 0.006 0.008 0.012 0.068 0.007 0.005 0.006 0.006
0.04 0.06 0.141 0.012 0.013 0.007 0.010 0.102 0.007 0.013 0.008 0.012 0.159 0.014 0.014 0.007 0.009
0.06 0.08 0.220 0.021 0.026 0.014 0.009 0.199 0.016 0.040 0.014 0.011 0.229 0.023 0.020 0.013 0.008
0.08 0.1 0.277 0.026 0.030 0.019 0.018 0.245 0.014 0.040 0.016 0.017 0.291 0.032 0.026 0.020 0.019
0.1 0.12 0.265 0.035 0.029 0.018 0.020 0.270 0.055 0.029 0.023 0.027 0.262 0.025 0.028 0.015 0.018
0.12 0.14 0.272 0.030 0.029 0.017 0.018 0.256 0.035 0.027 0.017 0.025 0.279 0.028 0.030 0.018 0.015
0.14 0.16 0.259 0.030 0.027 0.013 0.018 0.241 0.034 0.032 0.015 0.020 0.267 0.028 0.024 0.012 0.017
0.16 0.18 0.319 0.030 0.029 0.018 0.019 0.286 0.036 0.028 0.012 0.027 0.334 0.027 0.030 0.020 0.015
0.18 0.2 0.459 0.038 0.035 0.029 0.021 0.419 0.036 0.033 0.037 0.020 0.477 0.039 0.036 0.025 0.022
0.2 0.22 0.671 0.043 0.036 0.019 0.026 0.615 0.049 0.044 0.014 0.037 0.696 0.041 0.033 0.022 0.021
0.22 0.24 1.032 0.066 0.046 0.028 0.015 0.951 0.083 0.036 0.028 0.016 1.068 0.059 0.051 0.028 0.014
0.24 0.26 1.365 0.084 0.044 0.027 0.018 1.297 0.083 0.042 0.029 0.024 1.396 0.085 0.044 0.026 0.015
0.26 0.28 1.854 0.120 0.052 0.030 0.019 1.786 0.132 0.051 0.026 0.019 1.884 0.115 0.052 0.032 0.019
0.28 0.3 2.316 0.198 0.065 0.027 0.016 2.245 0.252 0.055 0.022 0.017 2.348 0.174 0.069 0.030 0.016
0.3 0.32 3.076 0.309 0.104 0.050 0.038 2.699 0.357 0.098 0.029 0.030 3.247 0.288 0.106 0.059 0.041
0.32 0.34 4.624 0.548 0.114 0.041 0.022 4.413 0.605 0.098 0.035 0.018 4.719 0.522 0.122 0.043 0.024
0.34 0.36 7.062 1.119 0.135 0.035 0.023 6.836 1.168 0.111 0.033 0.031 7.165 1.097 0.146 0.036 0.019
0.36 0.38 8.614 2.264 0.149 0.038 0.018 8.796 2.366 0.139 0.034 0.017 8.531 2.218 0.154 0.040 0.019
0.38 0.4 9.304 4.156 0.186 0.042 0.026 9.064 4.094 0.161 0.041 0.037 9.413 4.183 0.197 0.042 0.021
0.4 0.42 9.510 6.577 0.201 0.030 0.024 9.128 6.560 0.164 0.015 0.026 9.683 6.585 0.218 0.036 0.023
0.42 0.44 10.225 8.641 0.263 0.030 0.015 10.398 9.016 0.244 0.030 0.016 10.146 8.470 0.271 0.030 0.015
0.44 0.46 11.073 9.917 0.391 0.036 0.016 10.565 9.711 0.351 0.032 0.022 11.304 10.011 0.409 0.038 0.014
0.46 0.48 11.163 10.136 0.575 0.046 0.023 10.523 9.810 0.498 0.045 0.030 11.454 10.285 0.609 0.046 0.020
0.48 0.5 12.054 10.763 1.020 0.043 0.015 11.871 10.864 0.965 0.045 0.017 12.137 10.718 1.045 0.042 0.015
0.5 0.52 12.782 10.380 2.226 0.046 0.012 12.692 10.476 2.211 0.055 0.018 12.823 10.336 2.233 0.042 0.009
