Sample,Bin,logMcut,logM1,sigmalogM,alpha,kappa,nbar1000,fsat,logMhmean
MainLRGs,all,12.683+0.129−0.063,14.063+0.241−0.395,0.133+0.179−0.083,0.848+0.611−0.362,1.245+0.924−0.816,0.745+0.223−0.133,0.08+0.104−0.057,13.179+0.029−0.021
ExtendedLRGs,all,12.491+0.07−0.045,14.196+0.144−0.433,0.108+0.126−0.06,0.642+0.725−0.222,0.941+1.075−0.737,1.254+0.223−0.198,0.098+0.091−0.078,13.025+0.022−0.016
BGSlogM>10.5,all,12.133+0.102−0.125,13.83+0.276−0.67,0.107+0.194−0.074,1.219+0.501−0.77,1.069+0.992−0.79,3.608+1.615−0.723,0.108+0.195−0.032,13.022+0.091−0.061
,,,,,,,,,
MainLRGs,z1,12.61+0.39−0.15,13.91+0.33−0.35,0.3+0.29−0.21,1.0+0.56−0.48,1.3+0.92−0.88,1.3+0.6−0.41,0.08+0.09−0.05,13.19+0.09−0.06
MainLRGs,z2,12.63+0.23−0.09,14.02+0.26−0.41,0.18+0.25−0.13,0.84+0.6−0.39,1.3+0.91−0.9,1.09+0.37−0.25,0.09+0.1−0.06,13.22+0.05−0.04
MainLRGs,z3,12.73+0.27−0.1,13.98+0.29−0.37,0.21+0.23−0.14,0.96+0.57−0.44,1.33+0.89−0.89,0.69+0.26−0.19,0.08+0.09−0.05,13.2+0.05−0.03
MainLRGs,z4,12.63+0.32−0.11,13.97+0.29−0.37,0.23+0.25−0.15,0.96+0.56−0.45,1.28+0.91−0.85,0.91+0.34−0.27,0.07+0.09−0.05,13.12+0.06−0.04
,,,,,,,,,
ExtendedLRGs,z1,12.49+0.37−0.1,13.96+0.29−0.37,0.24+0.31−0.17,0.92+0.58−0.44,1.28+0.94−0.89,1.58+0.54−0.43,0.07+0.1−0.05,13.11+0.07−0.04
ExtendedLRGs,z2,12.44+0.17−0.07,14.01+0.27−0.49,0.14+0.23−0.1,0.76+0.66−0.34,1.23+0.94−0.85,1.66+0.54−0.34,0.08+0.14−0.06,13.09+0.04−0.03
ExtendedLRGs,z3,12.52+0.25−0.08,14.05+0.24−0.39,0.17+0.25−0.11,0.89+0.61−0.4,1.23+0.94−0.83,1.16+0.33−0.28,0.06+0.09−0.04,13.05+0.05−0.03
ExtendedLRGs,z4,12.38+0.33−0.07,14.1+0.21−0.39,0.2+0.27−0.13,0.82+0.63−0.35,1.1+1.04−0.79,1.72+0.35−0.47,0.06+0.09−0.04,12.92+0.06−0.03
