massselect,colorselect,halo,match,log10p0,alphak,betak,Ak2h,P0,xct,betat,At2h
mstar,tot,GNFW,matched,3.04+0.60−0.28,1.49+1.66−0.79,4.31+2.01−1.06,1.60+0.43−0.36,8.86+8.25−4.17,0.59+0.27−0.30,5.46+2.42−2.07,0.95+0.82−0.47
mstar,red,GNFW,matched,2.92+0.41−0.21,1.65+1.62−0.84,4.10+1.99−1.01,1.57+0.43−0.36,8.66+7.89−4.02,0.60+0.27−0.30,5.43+2.36−2.00,0.87+0.72−0.42
mh,tot,GNFW,matched,3.22+0.84−0.42,1.10+1.19−0.56,4.76+2.42−1.31,1.50+0.43−0.34,6.94+8.50−3.62,0.51+0.31−0.28,5.65+2.65−2.40,0.98+1.01−0.52
mh,red,GNFW,matched,2.88+0.46−0.23,1.67+1.78−0.88,4.90+2.67−1.55,1.53+0.41−0.34,7.45+8.77−3.96,0.53+0.30−0.29,5.67+2.59−2.31,0.91+0.82−0.46
mstar,tot,GNFW,unmatched,3.25+0.89−0.42,1.02+1.09−0.51,3.85+1.32−0.79,1.47+0.40−0.33,9.31+8.70−4.53,0.59+0.28−0.31,4.75+2.42−1.80,0.84+0.71−0.41
mstar,red,GNFW,unmatched,2.98+0.59−0.26,1.24+1.16−0.62,3.41+1.29−0.71,1.47+0.41−0.34,10.70+8.88−5.05,0.62+0.26−0.31,4.48+2.26−1.63,0.80+0.64−0.39
mh,tot,GNFW,unmatched,3.62+1.04−0.58,0.83+0.77−0.38,4.31+1.54−0.93,1.36+0.38−0.31,10.16+9.56−5.25,0.59+0.28−0.30,4.80+2.72−2.02,0.86+0.86−0.46
mh,red,GNFW,unmatched,2.91+0.57−0.26,1.42+1.48−0.75,4.01+2.20−1.10,1.50+0.41−0.34,10.85+9.59−5.56,0.60+0.27−0.30,4.79+2.61−1.88,0.91+0.82−0.46
mstar,tot,GNFW1h,matched,4.68+0.89−1.01,0.25+0.14−0.06,1.95+0.16−0.18,,10.02+10.94−5.93,0.14+0.21−0.08,1.80+0.44−0.33,
mstar,red,GNFW1h,matched,4.53+0.95−0.96,0.25+0.14−0.07,1.90+0.15−0.16,,10.24+10.81−6.01,0.14+0.19−0.07,1.81+0.43−0.33,
mh,tot,GNFW1h,matched,4.76+0.84−1.00,0.24+0.12−0.05,1.94+0.16−0.17,,6.51+10.91−4.07,0.15+0.31−0.10,1.73+0.49−0.35,
mh,red,GNFW1h,matched,4.45+1.00−1.00,0.25+0.15−0.07,1.83+0.16−0.17,,7.32+11.28−4.71,0.14+0.26−0.09,1.72+0.47−0.35,
mstar,tot,GNFW1h,unmatched,4.80+0.82−1.01,0.23+0.11−0.05,1.87+0.16−0.17,,9.58+11.05−5.70,0.16+0.23−0.09,1.64+0.38−0.30,
mstar,red,GNFW1h,unmatched,4.55+0.96−1.01,0.24+0.14−0.06,1.78+0.15−0.16,,10.53+10.73−5.99,0.19+0.25−0.10,1.67+0.38−0.31,
mh,tot,GNFW1h,unmatched,4.92+0.75−0.99,0.22+0.10−0.04,1.84+0.15−0.17,,7.79+11.06−4.59,0.22+0.34−0.13,1.57+0.38−0.30,
mh,red,GNFW1h,unmatched,4.40+1.04−1.04,0.24+0.16−0.07,1.73+0.16−0.17,,8.88+11.09−5.27,0.21+0.31−0.13,1.69+0.41−0.33,
