sample,hemisphere,zbin,area,logMhMean,nGal,zMean,zpMin,zpMax
main,combined,all,16700,,600,,0.400,1.020
main,combined,z1,16700,13.40,81.9,0.470,0.400,0.540
main,combined,z2,16700,13.40,148.1,0.628,0.540,0.713
main,combined,z3,16700,13.24,162.4,0.791,0.713,0.860
main,combined,z4,16700,13.24,148.3,0.924,0.860,1.020
main,north,all,4200,,600,,0.400,1.024
main,north,z1,4200,13.40,81.9,0.470,0.400,0.545
main,north,z2,4200,13.40,148.1,0.628,0.545,0.719
main,north,z3,4200,13.24,162.4,0.791,0.719,0.851
main,north,z4,4200,13.24,148.3,0.924,0.851,1.024
main,south,all,12500,,600,,0.400,1.020
main,south,z1,12500,13.40,81.9,0.470,0.400,0.540
main,south,z2,12500,13.40,148.1,0.628,0.540,0.713
main,south,z3,12500,13.24,162.4,0.791,0.713,0.860
main,south,z4,12500,13.24,148.3,0.924,0.860,1.020
ext,combined,all,,,1669,,0.400,1.000
ext,combined,z1,,13.40,185.5,0.467,0.400,0.540
ext,combined,z2,,13.40,311.0,0.633,0.540,0.713
ext,combined,z3,,13.24,422.6,0.794,,0.860
ext,combined,z4,,13.24,438.4,0.929,0.860,1.000
ext,north,all,,,1669,,0.400,1.010
ext,north,z1,,13.40,185.5,0.467,0.400,0.545
ext,north,z2,,13.40,311.0,0.633,0.545,0.719
ext,north,z3,,13.24,422.6,0.794,,0.854
ext,north,z4,,13.24,438.4,0.929,0.854,1.010
ext,south,all,,,1669,,0.400,1.000
ext,south,z1,,13.40,185.5,0.467,0.400,0.540
ext,south,z2,,13.40,311.0,0.633,0.540,0.713
ext,south,z3,,13.24,422.6,0.794,,0.860
ext,south,z4,,13.24,438.4,0.929,0.860,1.000
