logMstarbin,>10.8,>11.1,>11.25,>11.4
logMmin,13.47+0.14−0.14,13.58+0.14−0.14,13.84+0.14−0.13,14.20+0.12−0.11
sigmalogM,0.76+0.19−0.11,0.78+0.15−0.10,0.86+0.0161−0.079,0.959+0.148−0.069
logM1,14.119+0.049−0.045,14.140+0.044−0.044,14.171+0.047−0.045,14.100+0.047−0.055
betaS,4.38+0.17−0.15,4.71+0.16−0.17,5.31+0.20−0.17,6.35+0.24−0.20
1minusbh,0.602+0.046−0.050,0.623+0.043−0.050,0.558+0.046−0.050,0.550+0.043−0.049
A,0.981+0.091−0.092,0.965+0.088−0.075,0.956+0.092−0.093,0.961+0.111−0.110
alphainc,0.51+0.31−0.33,0.42+0.35−0.28,0.39+0.33−0.26,0.33+0.27−0.21
logMinc,13.39+0.49−0.46,13.42+0.49−0.48,13.69+0.58−0.48,13.96+0.64−0.54
betaM,4.97,5.91,4.16,10
chi2dof,1.19,1.16,1.512,1.015
