Sample,Blue,Green,Red
sigmalogM,0.73+0.33−0.22,0.61+0.32−0.32,0.75+0.42−0.35
alphas,1.38+0.09−0.12,1.23+0.10−0.12,1.18+0.35−0.72
logMHODmin,12.11+0.37−0.37,12.39+0.52−0.52,13.23+0.58−0.84
logMHOD1,13.00+0.25−0.21,12.87+0.51−0.38,13.20+1.10−1.10
labda,1.11+0.20−0.29,2.50+0.45−0.24,1.30+0.51−1.10
107ASN,-0.16+0.40−0.34,1.35+0.15−0.15,27.95+1.90−0.62
MHODmin,1.83E12+0.41E12−1.63E12,5.22E12+0.34E12−4.80E12,6.60E13+0.30E13−1.11E13
M1,1.13E13+0.32E13−0.70E13,1.18E13+0.30E13−1.11E13,1.23E14+0.14E14−1.17E14
Mh,1.81E13+0.09E13−0.08E13,1.64E13+0.08E13−0.09E13,1.52E13+0.31E13−0.32E13
bg,1.50+0.01−0.02,2.05+0.02−0.03,2.92+0.06−0.05
alphasat,0.23+0.06−0.07,0.38+0.41−0.36,0.36+0.47−0.31
