sample,MS,MS,KV450 X GAMA,KV450 X GAMA
color,a=red,b=blue,a=red,a=blue
alpha^a,0.47+0.26−0.18,0.10+0.10−0.09,0.34+0.29−0.31,0.13+0.42−0.06
sigma^a,0.55+0.48−0.47,0.47+0.54−0.44,0.52+0.46−0.49,0.47+0.53−0.43
M_th^aE11,23.0+5.0−6.4,1.19+0.64−0.60,15+67−12,1.4+7.2−0.9
beta^a,0.84+0.10−0.09,0.73+0.10−0.16,0.88+0.32−0.44,0.55+0.16−0.21
M'^aE13,5.8+3.4−1.7,32+20−21,3.6+3.5−0.7,20+30−12
f^a,1.49+0.31−0.53,0.88+0.46−0.45,1.27+0.46−0.43,0.83+0.56−0.23
A^redblueE-2,5.31+0.87−0.92,5.31+0.87−0.92,1.62+0.62−0.51,1.62+0.62−0.51
eps^redblue,0.69+0.08−0.04,0.69+0.08−0.04,0.99+0.20−0.12,0.99+0.20−0.12
chi2,,93.62,74.31,
