sample,bin,LMin,LMax,MhMin,MhMax,MsMean,LMean,zMean,N,Nf150,logMsMin,logMsMean,lambdaMin,lambdaMean,logMhMean
LRG,L36,3.58,,0.38,,2.07,6.89,0.76,913286,957095,,,,,
LRG,L48,4.78,,0.63,,2.34,7.78,0.78,685766,718542,,,,,
LRG,L60,5.98,,0.96,,2.70,9.00,0.80,456803,478585,,,,,
LRG,L79,7.86,,1.64,,3.35,11.18,0.84,228650,239567,,,,,
LRG,L98,9.80,,2.59,,4.10,13.67,0.88,114024,119353,,,,,
LRG,L36D,3.58,4.78,0.38,0.63,1.26,4.21,0.70,227520,238553,,,,,
LRG,L48D,4.78,5.98,0.63,0.96,1.61,5.36,0.72,228963,239957,,,,,
LRG,L60D,5.98,7.86,0.96,1.64,2.04,6.82,0.76,228153,239018,,,,,
LRG,L79D,7.86,9.80,1.64,2.59,2.61,8.71,0.81,114626,120214,,,,,
BGS,M10,,,,,,,0.25,1610381,,10.00,10.72,,,
BGS,M1025,,,,,,,0.27,1379230,,10.25,10.82,,,
BGS,M105,,,,,,,0.28,1084339,,10.50,10.94,,,
BGS,M1075,,,,,,,0.30,744562,,10.75,11.08,,,
BGS,M11,,,,,,,0.33,421150,,11.00,11.25,,,
BGS,M1125,,,,,,,0.36,178206,,11.25,11.42,,,
optical,Full,,,,,,,0.48,220698,,,,,7.04,13.45
optical,L10,,,,,,,0.48,80447,,,,10,11.81,13.76
optical,L20,,,,,,,0.47,22320,,,,20,20.42,14.08
