Sample,"[11.10,12.00]","[11.30,12.0]","[11.40,12.0]"
logMmin,13.13+0.13−0.13,13.45+0.15−0.15,13.68+0.16−0.16
sigmalogM,0.22+0.14−0.15,0.45+0.24−0.25,0.79+0.41−0.39
logM1,14.21+0.11−0.13,14.51+0.17−0.15,14.56+0.27−0.22
alpha,1.13+0.38−0.45,1.14+0.47−0.51,1.00+0.45−0.43
kappa,1.25+0.71−0.69,0.85+0.67−0.67,1.19+0.99−0.96
Mstar11,0.0+3.1,0.0+7.3,0.0+8.1
Rc,0.98+0.19−0.20,1.01+0.20−0.20,1.02+0.21−0.22
psi,0.93+0.14−0.13,0.93+0.15−0.14,0.94+0.15−0.14
poff,0.34+0.18−0.18,0.37+0.24−0.21,0.36+0.19−0.19
Roff,2.2+1.5−1.3,2.3+1.5−1.5,2.4+1.4−1.4
alphainc,0.44+0.35−0.34,0.53+0.25−0.24,0.57+0.20−0.18
logMinc,13.57+0.32−0.30,13.88+0.33−0.30,14.08+0.32−0.29
omegaM,0.310+0.019−0.020,0.306+0.021−0.020,0.304+0.022−0.021
sigma8,0.785+0.044−0.044,0.839+0.061−0.061,0.813+0.060−0.059
100omegabh2,2.228+0.040−0.040,2.226+0.040−0.039,2.222+0.041−0.041
ns,0.964+0.011−0.011,0.963+0.011−0.010,0.961+0.011−0.01
h,0.703+0.018−0.018,0.700+0.017−0.016,0.695+0.017−0.017
