massselect,colorselect,halo,match,log10p0,betak,Ak2h,P0,betat,At2h,log10p0_sig,betak_sig,Ak2h_sig,P0_sig,betat_sig,At2h_sig
mstar,tot,GNFW,matched,3.67+0.05−0.05,3.37+0.11−0.11,1.41+0.23−0.23,4.20+0.25−0.23,6.10+0.16−0.15,0.57+0.06−0.06,,,,,,
mstar,red,GNFW,matched,3.28+0.04−0.04,3.20+0.11−0.11,1.37+0.23−0.23,4.05+0.24−0.22,6.16+0.16−0.15,0.53+0.06−0.06,,,,,,
mh,tot,GNFW,matched,4.34+0.10−0.10,3.45+0.16−0.16,1.32+0.23−0.23,2.78+0.28−0.25,6.36+0.27−0.25,0.52+0.06−0.06,,,,,,
mh,red,GNFW,matched,3.39+0.07−0.06,3.30+0.16−0.16,1.35+0.23−0.23,2.89+0.25−0.22,5.83+0.21−0.20,0.51+0.06−0.06,,,,,,
mstar,tot,GNFW,unmatched,3.69+0.05−0.05,3.12+0.10−0.10,1.38+0.23−0.23,6.80+0.40−0.37,4.88+0.12−0.11,0.55+0.06−0.06,0.3,1.7,0.1,5.9,6.0,0.2
mstar,red,GNFW,unmatched,3.29+0.04−0.04,2.95+0.10−0.10,1.34+0.23−0.23,5.98+0.34−0.32,5.00+0.12−0.12,0.51+0.06−0.06,0.2,1.7,0.1,4.9,5.7,0.2
mh,tot,GNFW,unmatched,4.42+0.10−0.10,3.13+0.14−0.14,1.29+0.23−0.24,7.52+0.76−0.66,4.60+0.18−0.17,0.49+0.06−0.06,0.6,1.5,0.1,6.7,5.3,0.2
mh,red,GNFW,unmatched,3.41+0.07−0.07,3.03+0.14−0.15,1.33+0.23−0.24,4.86+0.41−0.37,4.66+0.16−0.15,0.49+0.06−0.06,0.3,1.2,0.1,4.5,4.4,0.2
mstar,tot,GNFW1h,matched,3.47+0.03−0.03,2.86+0.06−0.06,,3.11+0.13−0.13,5.24+0.10−0.10,,3.4,4.1,,3.8,4.5,
mstar,red,GNFW1h,matched,3.12+0.02−0.02,2.71+0.06−0.06,,3.08+0.13−0.13,5.35+0.10−0.10,,3.6,3.9,,3.5,4.2,
mh,tot,GNFW1h,matched,3.94+0.05−0.05,2.79+0.08−0.08,,1.79+0.12−0.11,5.07+0.15−0.15,,3.6,3.6,,3.1,4.0,
mh,red,GNFW1h,matched,3.13+0.04−0.04,2.62+0.08−0.08,,1.98+0.12−0.11,4.79+0.12−0.12,,3.1,3.8,,3.2,4.2,
mstar,tot,GNFW1h,unmatched,3.49+0.03−0.03,2.67+0.05−0.05,,5.12+0.21−0.20,4.26+0.07−0.07,,3.1,5.8,,2.9,10.5,
mstar,red,GNFW1h,unmatched,3.14+0.02−0.02,2.52+0.05−0.05,,4.62+0.19−0.18,4.41+0.07−0.07,,3.1,5.6,,2.0,9.9,
mh,tot,GNFW1h,unmatched,4.03+0.05−0.05,2.56+0.07−0.07,,4.92+0.33−0.30,3.77+0.10−0.10,,2.8,5.0,,5.3,8.9,
mh,red,GNFW1h,unmatched,3.16+0.04−0.04,2.43+0.07−0.07,,3.39+0.19−0.18,3.90+0.09−0.09,,2.7,5.0,,1.7,8.4,
