Parameter,TT+lowE,TE+lowE,EE+lowE,"TT,TE,EE+lowE","TT,TE,EE+lowE+lensing","TT,TE,EE+lowE+lensing+BAO"
Ob0h2,0.02212±0.00022,0.02249±0.00025,0.0240±0.0012,0.02236±0.00015,0.02237±0.00015,0.02242±0.00014
Oc0h2,0.1206±0.0021,0.1177±0.0020,0.1158±0.0046,0.1202±0.0014,0.1200±0.0012,0.11933±0.00091
100thetaMC,1.04077±0.00047,1.04139±0.00049,1.03999±0.00089,1.04090±0.00031,1.04092±0.00031,1.04101±0.00029
tau,0.0522±0.0080,0.0496±0.0085,0.0527±0.0090,0.0544+0.0070−0.0081,0.0544±0.0073,0.0561±0.0071
ln1e10As,3.040±0.016,3.018+0.020−0.018,3.052±0.022,3.045±0.016,3.044±0.014,3.047±0.014
ns,0.9626±0.0057,0.967±0.011,0.980±0.015,0.9649±0.0044,0.9649±0.0042,0.9665±0.0038
H0,66.88±0.92,68.44±0.91,69.9±2.7,67.27±0.60,67.36±0.54,67.66±0.42
Ol0,0.679±0.013,0.699±0.012,0.711+0.033−0.026,0.6834±0.0084,0.6847±0.0073,0.6889±0.0056
Om0,0.321±0.013,0.301±0.012,0.289+0.026−0.033,0.3166±0.0084,0.3153±0.0073,0.3111±0.0056
Om0h2,0.1434±0.0020,0.1408±0.0019,0.1404+0.0034−0.0039,0.1432±0.0013,0.1430±0.0011,0.14240±0.00087
Om0h3,0.09589±0.00046,0.09635±0.00051,0.0981+0.0016−0.0018,0.09633±0.00029,0.09633±0.00030,0.09635±0.00030
sigma8,0.8118±0.0089,0.793±0.011,0.796±0.018,0.8120±0.0073,0.8111±0.0060,0.8102±0.0060
S8,0.840±0.024,0.794±0.024,0.781+0.052−0.060,0.834±0.016,0.832±0.013,0.825±0.011
sigma8Om0p25,0.611±0.012,0.587±0.012,0.583±0.027,0.6090±0.0081,0.6078±0.0064,0.6051±0.0058
zre,7.50±0.82,7.11+0.91−0.75,7.10+0.87−0.73,7.68±0.79,7.67±0.73,7.82±0.71
1e9As,2.092±0.034,2.045±0.041,2.116±0.047,2.101+0.031−0.034,2.100±0.030,2.105±0.030
1e9As_em2tau,1.884±0.014,1.851±0.018,1.904±0.024,1.884±0.012,1.883±0.011,1.881±0.010
Age_Gyr,13.830±0.037,13.761±0.038,13.64+0.16−0.14,13.800±0.024,13.797±0.023,13.787±0.020
zstar,1090.30±0.41,1089.57±0.42,1087.8+1.6−1.7,1089.95±0.27,1089.92±0.25,1089.80±0.21
rstar_Mpc,144.46±0.48,144.95±0.48,144.29±0.64,144.39±0.30,144.43±0.26,144.57±0.22
100thetastar,1.04097±0.00046,1.04156±0.00049,1.04001±0.00086,1.04109±0.00030,1.04110±0.00031,1.04119±0.00029
zdrag,1059.39±0.46,1060.03±0.54,1063.2±2.4,1059.93±0.30,1059.94±0.30,1060.01±0.29
rdrag_Mpc,147.21±0.48,147.59±0.49,146.46±0.70,147.05±0.30,147.09±0.26,147.21±0.23
kD_invMpc,0.14054±0.00052,0.14043±0.00057,0.1426±0.0012,0.14090±0.00032,0.14087±0.00030,0.14078±0.00028
zeq,3411±48,3349±46,3340+81−92,3407±31,3402±26,3387±21
keq_invMpc,0.01041±0.00014,0.01022±0.00014,0.01019+0.00025−0.00028,0.010398±0.000094,0.010384±0.000081,0.010339±0.000063
100thetaseq,0.4483±0.0046,0.4547±0.0045,0.4562±0.0092,0.4490±0.0030,0.4494±0.0026,0.4509±0.0020
f2000_143,31.2±3.0,,,29.5±2.7,29.6±2.8,29.4±2.7
f2000_143x217,33.6±2.0,,,32.2±1.9,32.3±1.9,32.1±1.9
f2000_217,108.2±1.9,,,107.0±1.8,107.1±1.8,106.9±1.8
