Bin,zmean,zmed,Mstar/1e11Msun,N,chi2null,SN,kSZ_kSZfid,sigmakSZ_sigmakSZfid,,logMstarMin,logMstarMax,zspecMin,zspecMax
Full sample,0.74,0.75,2.2,825283,105.9,9.8,1,0,,,,0.5,1.1
z1,0.51,0.51,2.4,195877,36.5,5.6,1.12,0.21,,,,0.4,0.6
z2,0.71,0.71,2.3,297440,46.6,5.1,0.99,0.16,,,,0.6,0.8
z3,0.87,0.87,2,235620,42.8,5.8,1.03,0.18,,,,0.8,0.95
z4,1.01,1.01,2.1,96346,9.6,2.3,0.69,0.29,,,,0.95,1.1
mass1,0.76,0.79,1.2,244932,20.6,4.3,0.77,0.17,,10.5,11.2,,
mass2,0.75,0.76,2,320914,44.4,6,0.97,0.16,,11.2,11.4,,
mass3,0.71,0.7,3,194037,26.7,4.5,0.98,0.2,,11.4,11.6,,
mass4,0.69,0.67,5.1,53997,47.7,6.2,2.47,0.4,,11.6,12.5,,
Mag-g1,0.8,0.82,2.9,299592,55.2,7.1,1.19,0.16,,,,,
Mag-g2,0.73,0.74,2.2,189580,40,5.1,1.11,0.21,,,,,
Mag-g3,0.7,0.71,1.9,164457,24.2,4.2,0.95,0.22,,,,,
Mag-g4,0.68,0.7,1.5,168848,15.3,2.5,0.65,0.22,,,,,
Mag-r1,0.81,0.84,3.5,164927,43.7,5.6,1.25,0.22,,,,,
Mag-r2,0.75,0.76,2.4,250337,42.1,5.9,1.1,0.18,,,,,
Mag-r3,0.72,0.74,1.8,250628,42.6,5.6,0.99,0.18,,,,,
Mag-r4,0.68,0.7,1.3,159688,11.6,2,0.55,0.22,,,,,
Mag-z1,0.77,0.79,3.4,257941,50.9,6.7,1.19,0.18,,,,,
Mag-z2,0.74,0.75,2.2,315034,52.3,6.8,1.09,0.16,,,,,
Mag-z3,0.74,0.76,1.6,194551,22.9,2.3,0.72,0.2,,,,,
Mag-z4,0.69,0.73,1,58054,12.6,1.1,0.53,0.37,,,,,
