ngbar,Model,numParams,logMmin,logM1,alpha,sigmalogM,M0,logM1prime
0.02,SPH,3P,11.67,12.96,0.97,,,
0.02,SA,3P,11.77,12.96,1.04,,,
0.01,SPH,3P,12.04,13.26,1.03,,,
0.01,SA,3P,12.03,13.3,1.02,,,
0.005,SPH,3P,12.38,13.55,1.18,,,
0.005,SA,3P,12.34,13.64,1.09,,,
0.0025,SPH,3P,12.68,13.85,1.24,,,
0.0025,SA,3P,12.58,13.91,1.16,,,
0.02,SPH,5P,11.68,,1.02,0.15,11.86,13
0.02,SA,5P,11.73,,0.96,0.32,12.09,12.87
0.01,SPH,5P,12.07,,0.94,0.18,12.28,13.19
0.01,SA,5P,12.02,,1.07,0.26,12.28,13.32
0.005,SPH,5P,12.36,,1,0.15,12.63,13.45
0.005,SA,5P,12.36,,1.04,0.42,12.28,13.62
0.0025,SPH,5P,12.69,,1.08,0.15,12.94,13.82
0.0025,SA,5P,12.6,,1.03,0.28,12.77,13.86
