,aper1,aper2,aper3,aper4,aper5,aper6,aper7,aper8,aper9,aper10,aper11,aper12,aper13
L35,0.77448172,0.8517679,0.91863603,0.95568014,0.97332741,0.98222564,0.9873597,0.99060454,0.99281332,0.99436361,0.99549225,0.99633241,0.99696665
L47,0.76258001,0.84459159,0.91837232,0.95802119,0.97564821,0.9839862,0.98866198,0.99152518,0.9934644,0.99478748,0.99574293,0.9964434,0.99696799
L59,0.76775748,0.84645378,0.91788181,0.95699973,0.97480439,0.98338899,0.98824682,0.99128132,0.99332795,0.99474434,0.99576125,0.99650336,0.99705766
L79,0.77294046,0.85101008,0.9186236,0.95642125,0.97409036,0.98282054,0.98775887,0.99091534,0.9930383,0.9945315,0.99559811,0.996384,0.99697081
L98,0.77232697,0.84896812,0.91775453,0.95648754,0.97442749,0.98311058,0.9879758,0.99105828,0.99315499,0.99462455,0.99567924,0.99645453,0.99702696
L36D,0.77669668,0.85645875,0.92274573,0.95763184,0.97483588,0.98317129,0.98802899,0.99106529,0.99306346,0.99447476,0.99546703,0.99622396,0.99679155
L47D,0.77815755,0.85541842,0.92094344,0.95713256,0.97444986,0.98293277,0.98786575,0.9909395,0.9929934,0.99444021,0.99547357,0.99624308,0.99681616
L59D,0.76293591,0.84462987,0.91695596,0.9566504,0.97474677,0.98341203,0.98829229,0.99133392,0.99340643,0.99483967,0.9958726,0.99662952,0.99718856
L78D,0.78610472,0.85560762,0.92048751,0.95675125,0.97388808,0.98252192,0.98749703,0.99067043,0.9928161,0.99432169,0.99541006,0.99621166,0.99681728
M10.0,,,,,,,,,,,,,
M10.25,,,,,,,,,,,,,
M10.5,,,,,,,,,,,,,
M10.75,,,,,,,,,,,,,
M11,0.86406892,0.91129282,0.94386845,0.9639182,0.97526713,0.98216563,0.9866059,0.98953063,0.99160362,0.99313501,0.9942815,0.99518054,0.99589915
M11.25,0.89341466,0.9111371,0.94449845,0.96414379,0.9757166,0.98243684,0.98676564,0.98968723,0.9917065,0.99319298,0.99434539,0.99522979,0.99593546
all,0.8354178,0.9003357,0.9437378,0.96668303,0.97851154,0.98510679,0.98912421,0.99173018,0.99352021,0.99479393,0.99573468,0.9964443,0.99699668
L10,0.88540992,0.91134113,0.94981558,0.97334414,0.97994864,0.98539689,0.98924878,0.99179081,0.99356353,0.99490029,0.99579111,0.99634007,0.99690635
L20,,,,,,,,,,,,,
