,aper1,aper2,aper3,aper4,aper5,aper6,aper7,aper8,aper9,aper10,aper11,aper12,aper13
L35,1.72436847,1.32464527,1.13458658,1.06904759,1.04141401,1.02797873,1.01987763,1.01491097,1.01136084,1.00895556,1.00717067,1.00583536,1.00484293
L47,1.7845259,1.34127642,1.13084774,1.06380243,1.03732635,1.02519978,1.01778165,1.01352742,1.01034565,1.00833973,1.00680787,1.00568358,1.00485336
L59,1.75856012,1.33730426,1.13329075,1.06575275,1.0386993,1.02610436,1.01846106,1.01385475,1.01054764,1.00835955,1.00673931,1.00556836,1.00468149
L79,1.72962077,1.3269815,1.13430203,1.06742526,1.04011912,1.0270365,1.01932254,1.01441188,1.01102182,1.00866297,1.00699061,1.00575526,1.00483774
L98,1.73332893,1.3319587,1.135357,1.0668526,1.03935127,1.02652769,1.01891919,1.01418138,1.01081914,1.00853763,1.00687898,1.00564032,1.00476371
L36D,1.71239335,1.31396071,1.12855506,1.06704861,1.03946637,1.02687649,1.01907399,1.01424402,1.01108776,1.00878957,1.00730464,1.00605551,1.00511165
L47D,1.70932483,1.31633715,1.13129631,1.0672871,1.03990794,1.02715603,1.01926041,1.01448328,1.01122043,1.00889598,1.00726315,1.00601998,1.00512595
L59D,1.7774265,1.34153679,1.13419851,1.06599734,1.03863446,1.02599752,1.01832478,1.01376984,1.01039722,1.00820973,1.00657487,1.00536596,1.00450202
L78D,1.67676261,1.31627144,1.13291145,1.06765185,1.04074658,1.02765842,1.01981426,1.01484668,1.01140004,1.00902442,1.00729504,1.00603714,1.00505662
M10.0,,,,,,,,,,,,,
M10.25,,,,,,,,,,,,,
M10.5,,,,,,,,,,,,,
M10.75,,,,,,,,,,,,,
M11,1.3461406,1.17846117,1.09863547,1.05995513,1.04036959,1.02893285,1.02155631,1.01688699,1.01353982,1.01101814,1.00919193,1.00774093,1.00657257
M11.25,1.26293391,1.1791059,1.09753211,1.05987237,1.03950632,1.02846891,1.02135562,1.01653196,1.01332611,1.01097597,1.00905011,1.00764881,1.00655187
all,1.40858806,1.18401252,1.09136582,1.05247221,1.03379633,1.02353425,1.01720398,1.01313443,1.01029655,1.00830032,1.00679657,1.00568872,1.00480008
L10,1.26912118,1.16189298,1.08289724,1.03786992,1.03163797,1.02406227,1.01805066,1.0135751,1.0103393,1.00792052,1.00648015,1.00594813,1.00520357
L20,,,,,,,,,,,,,
